Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-20 00:00:00,2020-01-21 00:00:00,2020-01-22 00:00:00,2020-01-23 00:00:00,2020-01-24 00:00:00,2020-01-25 00:00:00,2020-01-26 00:00:00,2020-01-27 00:00:00,2020-01-28 00:00:00,2020-01-29 00:00:00,2020-01-30 00:00:00,2020-01-31 00:00:00,2020-02-01 00:00:00,2020-02-02 00:00:00,2020-02-03 00:00:00,2020-02-04 00:00:00,2020-02-05 00:00:00,2020-02-06 00:00:00,2020-02-07 00:00:00,2020-02-08 00:00:00,2020-02-09 00:00:00,2020-02-10 00:00:00,2020-02-11 00:00:00,2020-02-12 00:00:00,2020-02-13 00:00:00,2020-02-14 00:00:00,2020-02-15 00:00:00,2020-02-16 00:00:00,2020-02-17 00:00:00,2020-02-18 00:00:00,2020-02-19 00:00:00,2020-02-20 00:00:00,2020-02-21 00:00:00,2020-02-22 00:00:00,2020-02-23 00:00:00,2020-02-24 00:00:00,2020-02-25 00:00:00,2020-02-26 00:00:00,2020-02-27 00:00:00,2020-02-28 00:00:00,2020-02-29 00:00:00
Daxinganling Prefecture,Heilongjiang,大兴安岭地区,黑龙江省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,,,
Yichun,Heilongjiang,伊春市,黑龙江省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,,
Shanghai Municipality,Shanghai Municipality,上海市,上海市,1.0,9.0,16.0,20.0,33.0,40.0,53.0,66.0,80.0,101,128,153,177,193,208,233,254,269,281,292,295,302,306,313,318,326,328,331,333,333,333,334,334,335,335,335,336,337.0,,,
Nanjing,Jiangsu,南京市,江苏省,,,0.0,3.0,4.0,7.0,7.0,10.0,14.0,19,25,28,35,40,44,47,52,57,65,71,78,84,87,90,91,91,92,92,92,93,93,93,93,93,93,93,93,93.0,,,
Wuxi,Jiangsu,无锡市,江苏省,,,0.0,1.0,1.0,2.0,4.0,6.0,9.0,10,12,13,19,23,25,26,28,31,34,38,41,45,48,49,51,52,53,55,55,55,55,55,55,55,55,55,55,55.0,,,
Xuzhou,Jiangsu,徐州市,江苏省,,,0.0,0.0,0.0,0.0,3.0,8.0,8.0,15,20,23,30,36,39,45,45,49,52,56,60,63,66,71,76,77,78,79,79,79,79,79,79,79,79,79,79,79.0,,,
Changzhou,Jiangsu,常州市,江苏省,,,0.0,0.0,5.0,5.0,6.0,8.0,8.0,10,13,14,15,15,19,24,27,29,31,31,31,31,36,38,43,43,46,49,50,51,51,51,51,51,51,51,51,51.0,,,
Suzhou,Jiangsu,苏州市,江苏省,,,1.0,2.0,3.0,7.0,8.0,12.0,20.0,24,32,34,38,44,52,55,60,69,72,75,77,80,84,85,85,86,86,86,87,87,87,87,87,87,87,87,87,87.0,,,
Nantong,Jiangsu,南通市,江苏省,,,0.0,1.0,1.0,2.0,4.0,6.0,6.0,9,10,12,17,19,22,25,27,29,31,32,33,35,37,38,39,40,40,40,40,40,40,40,40,40,40,40,40,40.0,,,
Lianyungang,Jiangsu,连云港市,江苏省,,,0.0,1.0,1.0,3.0,3.0,3.0,3.0,6,9,13,13,14,17,20,22,24,27,32,35,37,39,42,45,46,48,48,48,48,48,48,48,48,48,48,48,48.0,,,
